Date,Open,High,Low,Close,Adj Close,Volume
2015-12-04,444.502838,446.285797,439.519745,441.371246,421.491730,6721844
2015-12-07,441.371246,444.822876,434.193756,435.245239,415.641602,7241954
2015-12-08,433.805145,435.953827,427.953430,430.147827,410.773773,3766082
2015-12-09,427.999146,431.313599,417.324310,418.718658,399.859375,4587209
2015-12-10,421.735962,436.045258,420.593048,434.468048,414.899414,9296101
2015-12-11,435.108093,438.422546,431.062164,435.656677,416.034546,9077756
2015-12-14,433.210846,440.479797,432.479370,436.639587,416.973175,5281950
2015-12-15,437.508209,447.085846,435.976685,446.148651,426.053925,7859416
2015-12-16,446.148651,451.474640,445.051453,447.405853,427.254486,6048669
2015-12-17,448.045898,464.023865,447.108704,461.600861,440.810150,9684516
2015-12-18,458.903595,461.280853,452.594696,453.463318,433.039154,8008069
2015-12-21,451.634644,456.709198,450.011719,453.554749,433.126495,6165884
2015-12-22,453.874756,458.354980,449.851685,451.360352,431.030914,5789638
2015-12-23,453.417603,460.320801,452.594696,458.903595,438.234375,6459733
2015-12-24,458.949310,460.457947,455.474854,457.417786,436.815491,5950938
2015-12-28,457.440643,463.452393,457.166351,461.920898,441.115784,6442967
2015-12-29,461.920898,465.715363,460.435089,464.206726,443.298645,7456935
2015-12-30,464.023865,464.481018,458.080688,459.223602,438.540009,4075805
2015-12-31,458.720734,466.172546,456.754913,463.840973,442.949371,9241856
2016-01-01,461.646576,465.806793,460.915131,464.183868,443.276825,2708281
2016-01-04,459.452179,463.475250,451.086060,455.017670,434.523499,15085473
2016-01-05,457.303497,461.738007,455.794861,459.520752,438.823730,7473119
2016-01-06,460.640808,474.721558,457.349213,471.887115,450.633118,13379932
2016-01-07,466.789703,469.967010,460.846558,463.223816,442.360016,9869971
2016-01-08,466.309692,472.207123,464.801025,468.938385,447.817169,10656599
2016-01-11,464.458160,484.962067,462.195190,480.756134,459.102661,14508221
2016-01-12,482.310516,487.065033,475.955902,477.944580,456.417786,11686688
